year,sex,source,scenario,region,ex_mean,ex_ll,ex_ul,ex_sd,lss_mean,lss_ll,lss_ul,lss_sd,case,ex_noc
2012,Females,Historic,NA,Gaza Strip,76.61280616,NA,NA,NA,0.089175746,NA,NA,NA,lc_pcbs_2019,76.70198191
2012,Males,Historic,NA,Gaza Strip,71.83227921,NA,NA,NA,0.776410501,NA,NA,NA,lc_pcbs_2019,72.60868971
2013,Females,Historic,NA,Gaza Strip,77.09376233,NA,NA,NA,0.002864567,NA,NA,NA,lc_pcbs_2019,77.0966269
2013,Males,Historic,NA,Gaza Strip,73.28028729,NA,NA,NA,0.026992045,NA,NA,NA,lc_pcbs_2019,73.30727934
2014,Females,Historic,NA,Gaza Strip,75.22599055,NA,NA,NA,1.932890694,NA,NA,NA,lc_pcbs_2019,77.15888124
2014,Males,Historic,NA,Gaza Strip,68.07663996,NA,NA,NA,5.464281291,NA,NA,NA,lc_pcbs_2019,73.54092125
2015,Females,Historic,NA,Gaza Strip,77.39632238,NA,NA,NA,0.006200207,NA,NA,NA,lc_pcbs_2019,77.40252259
2015,Males,Historic,NA,Gaza Strip,73.89982186,NA,NA,NA,0.063568619,NA,NA,NA,lc_pcbs_2019,73.96339048
2016,Females,Historic,NA,Gaza Strip,77.55399809,NA,NA,NA,0.008604758,NA,NA,NA,lc_pcbs_2019,77.56260285
2016,Males,Historic,NA,Gaza Strip,73.6293373,NA,NA,NA,0.016720126,NA,NA,NA,lc_pcbs_2019,73.64605742
2017,Females,Historic,NA,Gaza Strip,77.71832555,NA,NA,NA,0,NA,NA,NA,lc_pcbs_2019,77.71832555
2017,Males,Historic,NA,Gaza Strip,74.76473464,NA,NA,NA,0.067486223,NA,NA,NA,lc_pcbs_2019,74.83222086
2018,Females,Historic,NA,Gaza Strip,78.27824901,NA,NA,NA,0.011387707,NA,NA,NA,lc_pcbs_2019,78.28963672
2018,Males,Historic,NA,Gaza Strip,73.36487339,NA,NA,NA,0.703131281,NA,NA,NA,lc_pcbs_2019,74.06800467
2019,Females,Historic,NA,Gaza Strip,77.83971295,NA,NA,NA,0.028739808,NA,NA,NA,lc_pcbs_2019,77.86845276
2019,Males,Historic,NA,Gaza Strip,74.10724055,NA,NA,NA,0.273110935,NA,NA,NA,lc_pcbs_2019,74.38035149
2020,Females,Historic,NA,Gaza Strip,77.06298972,NA,NA,NA,0,NA,NA,NA,lc_pcbs_2019,77.06298972
2020,Males,Historic,NA,Gaza Strip,73.24627261,NA,NA,NA,0.002420765,NA,NA,NA,lc_pcbs_2019,73.24869337
