"","region","cause","year","sex","age","mx_m","mx_l","mx_u"
"93","Gaza Strip","noconflict","23_24","m",5,0.000354126873100057,0.000354032373100057,0.00035413237310006
"94","Gaza Strip","noconflict","23_24","m",10,0.000349479966122948,0.000349462566122946,0.000349562566122949
"95","Gaza Strip","noconflict","23_24","m",15,0.000284794152235187,0.000284742377235182,0.000284842377235191
"96","Gaza Strip","noconflict","23_24","m",20,0.000473123819340105,0.000473059694340104,0.000473159694340107
"97","Gaza Strip","noconflict","23_24","m",25,0.000765566357988148,0.000765560382988144,0.000765660382988147
"98","Gaza Strip","noconflict","23_24","m",30,0.000689901276440001,0.000689839401439999,0.000689939401440002
"99","Gaza Strip","noconflict","23_24","m",35,0.00110214862822354,0.00110206900322354,0.00110216900322354
"100","Gaza Strip","noconflict","23_24","m",40,0.0014326457540966,0.00143260297909659,0.0014327029790966
"101","Gaza Strip","noconflict","23_24","m",45,0.00198203728608421,0.00198203288608421,0.00198213288608421
"102","Gaza Strip","noconflict","23_24","m",50,0.00431869260781831,0.00431860223281831,0.00431870223281831
"103","Gaza Strip","noconflict","23_24","m",55,0.00706493332429677,0.00706490104929677,0.00706500104929677
"104","Gaza Strip","noconflict","23_24","m",60,0.0151518919137361,0.0151515354887361,0.0151522354887361
"105","Gaza Strip","noconflict","23_24","m",65,0.0197413367012489,0.0197408421512489,0.0197421421512489
"106","Gaza Strip","noconflict","23_24","m",70,0.0397081690951892,0.0397075575201892,0.0397086575201892
"107","Gaza Strip","noconflict","23_24","m",75,0.0347344659191786,0.0347339973191786,0.0347348973191786
"108","Gaza Strip","noconflict","23_24","m",80,0.205773443383766,0.205773106083766,0.205774106083766
"109","Palestine","noconflict","23","f",0,0.01142831459,0.01142827,0.01142836
"110","Palestine","noconflict","23","f",1,0.000435716635,0.00043571,0.000435720000000001
"111","Palestine","noconflict","23","f",5,0.0001814381,0.00018143,0.000181440000000001
"112","Palestine","noconflict","23","f",10,0.0001456213275,0.000145619999999999,0.00014563
"113","Palestine","noconflict","23","f",15,0.000165429184504001,0.000165426404504,0.000165436404504001
"114","Palestine","noconflict","23","f",20,0.000290322323722596,0.000290313616222597,0.000290323616222597
"115","Palestine","noconflict","23","f",25,0.000309393316032594,0.000309385823532593,0.000309395823532594
"116","Palestine","noconflict","23","f",30,0.000369023433328164,0.000369021028328163,0.000369031028328165
"117","Palestine","noconflict","23","f",35,0.000686000553747644,0.000685998253747644,0.000686008253747645
"118","Palestine","noconflict","23","f",40,0.000702941822753823,0.000702938300253823,0.000702948300253824
"119","Palestine","noconflict","23","f",45,0.00124451734213892,0.00124451663213892,0.00124452663213892
"120","Palestine","noconflict","23","f",50,0.00239558732792443,0.00239554513042443,0.00239563513042443
"121","Palestine","noconflict","23","f",55,0.00412717219731426,0.00412712460481426,0.00412721460481426
"122","Palestine","noconflict","23","f",60,0.00753032556748694,0.00753023075498694,0.00753037075498694
"123","Palestine","noconflict","23","f",65,0.0115512236772365,0.0115511321072365,0.0115512721072365
"124","Palestine","noconflict","23","f",70,0.03060604244,0.03060599,0.03060609
"125","Palestine","noconflict","23","f",75,0.0362186031325,0.03621856,0.03621865
"126","Palestine","noconflict","23","f",80,0.1266783061775,0.1266778,0.1266788
"127","Palestine","noconflict","23","m",0,0.0134706428960323,0.0134705906285323,0.0134706906285323
"128","Palestine","noconflict","23","m",1,0.000540042213481508,0.000540040248481507,0.000540050248481508
"129","Palestine","noconflict","23","m",5,0.000273394525082875,0.000273389147582874,0.000273399147582875
"130","Palestine","noconflict","23","m",10,0.000272516503266182,0.000272512113266181,0.000272522113266182
"131","Palestine","noconflict","23","m",15,0.000254551384130604,0.000254551404130604,0.000254551404130605
"132","Palestine","noconflict","23","m",20,0.000461561606141372,0.000461521256141372,0.000461601256141373
"133","Palestine","noconflict","23","m",25,0.000566504577406119,0.000566459204906118,0.000566549204906119
"134","Palestine","noconflict","23","m",30,0.000562163064226411,0.000562073684226409,0.00056220368422641
"135","Palestine","noconflict","23","m",35,0.000838792072881528,0.000838743205381529,0.000838873205381528
"136","Palestine","noconflict","23","m",40,0.0013667330066731,0.0013666872116731,0.0013667772116731
"137","Palestine","noconflict","23","m",45,0.00202100249448315,0.00202100091948315,0.00202101091948315
"138","Palestine","noconflict","23","m",50,0.00411458513486551,0.00411457566236551,0.00411458566236551
"139","Palestine","noconflict","23","m",55,0.00687354028480478,0.00687349567730478,0.00687358567730478
"140","Palestine","noconflict","23","m",60,0.0131284245029737,0.0131283821754737,0.0131284721754737
"141","Palestine","noconflict","23","m",65,0.0184867631662801,0.0184867251637801,0.0184868251637801
"142","Palestine","noconflict","23","m",70,0.035608763091742,0.035608732374242,0.035608832374242
"143","Palestine","noconflict","23","m",75,0.0344407674880718,0.0344407102705718,0.0344408102705718
"144","Palestine","noconflict","23","m",80,0.162618277859226,0.162617839796726,0.162618739796726
"145","Palestine","noconflict","24","f",0,0.0110892575475,0.01108921,0.0110893
"146","Palestine","noconflict","24","f",1,0.00041964244,0.00041964,0.000419650000000001
"147","Palestine","noconflict","24","f",5,0.0001796437,0.00017964,0.00017965
"148","Palestine","noconflict","24","f",10,0.00014280949,0.0001428,0.00014281
"149","Palestine","noconflict","24","f",15,0.000160809645,0.0001608,0.000160810000000001
"150","Palestine","noconflict","24","f",20,0.00029918747,0.00029918,0.00029919
"151","Palestine","noconflict","24","f",25,0.0003108587475,0.00031085,0.00031086
"152","Palestine","noconflict","24","f",30,0.00036590753,0.0003659,0.000365910000000001
"153","Palestine","noconflict","24","f",35,0.00069511968,0.000695110000000001,0.00069512
"154","Palestine","noconflict","24","f",40,0.000685744465,0.00068574,0.000685750000000001
"155","Palestine","noconflict","24","f",45,0.0012103912075,0.00121039,0.0012104
"156","Palestine","noconflict","24","f",50,0.00235295492,0.00235292,0.00235299
"157","Palestine","noconflict","24","f",55,0.003994036675,0.00399399,0.00399409
"158","Palestine","noconflict","24","f",60,0.00738600912,0.00738596,0.00738606
"159","Palestine","noconflict","24","f",65,0.011021215955,0.01102117,0.0110213
"160","Palestine","noconflict","24","f",70,0.0307367130475,0.03073668,0.0307368
"161","Palestine","noconflict","24","f",75,0.035538604425,0.0355386,0.0355387
"162","Palestine","noconflict","24","f",80,0.1275044260725,0.127504,0.1275049
"163","Palestine","noconflict","24","m",0,0.01305483142,0.01305478,0.01305488
"164","Palestine","noconflict","24","m",1,0.0005180553775,0.00051805,0.000518060000000001
"165","Palestine","noconflict","24","m",5,0.0002738049675,0.000273799999999999,0.00027381
"166","Palestine","noconflict","24","m",10,0.0002760900025,0.00027609,0.000276090000000001
"167","Palestine","noconflict","24","m",15,0.00023983525,0.0002398,0.000239900000000001
"168","Palestine","noconflict","24","m",20,0.00044916473,0.000449099999999999,0.0004492
"169","Palestine","noconflict","24","m",25,0.0005663076,0.000566299999999999,0.0005664
