"","region","cause","year","sex","age","dx_m","dx_l","dx_u","pop","mx_m","mx_l","mx_u"
"71","Gaza Strip","conflict","23","f",75,138.698849641757,94.4317718095323,201.528576515526,6723.8084828927,0.020628019075,0.0140443875,0.029972385
"72","Gaza Strip","conflict","23","f",80,192.99518395502,133.557741252399,273.816987989283,4393.20548993528,0.0439303794,0.0304009775,0.06232738
"73","Gaza Strip","conflict","23","m",0,329.274612027742,275.785219940142,389.58858872662,35014.4307293542,0.00940396874,0.00787633025,0.011126515
"74","Gaza Strip","conflict","23","m",1,1635.70332671575,1448.60210468235,1846.63175464206,137990.327515304,0.0118537534925,0.0104978525,0.0133823275
"75","Gaza Strip","conflict","23","m",5,1918.58255531583,1710.16573988679,2156.50097750064,147226.279486462,0.013031522375,0.0116159,0.0146475275
"76","Gaza Strip","conflict","23","m",10,1898.5847118977,1684.15553770089,2146.47442095995,142530.666351917,0.013320534875,0.0118160925,0.0150597375
"77","Gaza Strip","conflict","23","m",15,2003.38384101056,1776.51558291582,2259.83618159768,122988.364870762,0.016289214375,0.0144445825,0.01837439
"78","Gaza Strip","conflict","23","m",20,2112.27725403474,1872.177714799,2395.61524970704,99623.9693056929,0.02120250045,0.0187924425,0.024046575
"79","Gaza Strip","conflict","23","m",25,2168.47578644938,1930.01133746771,2446.45498262303,96822.8052721822,0.022396332975,0.0199334375,0.0252673425
"80","Gaza Strip","conflict","23","m",30,2299.8059374583,2005.49917938633,2655.77917522624,89231.8484809371,0.0257733755,0.02247515,0.0297626825
"81","Gaza Strip","conflict","23","m",35,1514.25567979713,1305.43851814824,1752.83423897628,66459.2537044691,0.0227847229,0.01964269,0.02637457
"82","Gaza Strip","conflict","23","m",40,1022.30170800255,876.565485687342,1195.0905110154,50003.3006379917,0.02044468455,0.0175301525,0.0239002325
"83","Gaza Strip","conflict","23","m",45,498.338173949584,433.218887040268,571.405484995514,41944.9208426058,0.0118807751675,0.01032828,0.0136227575
"84","Gaza Strip","conflict","23","m",50,464.61300393327,401.97767551266,535.498352140236,32119.0159938938,0.0144653561,0.012515255,0.016672315
"85","Gaza Strip","conflict","23","m",55,410.1054829975,354.651611168361,473.134310589958,28733.3007370737,0.014272828825,0.0123428775,0.01646641
"86","Gaza Strip","conflict","23","m",60,625.49907326352,492.719249276347,792.861741455055,21455.2393252748,0.02915367495,0.022964985,0.036954225
"87","Gaza Strip","conflict","23","m",65,454.163688337626,356.150669147062,580.048969488979,13679.1097417456,0.033201260675,0.0260361,0.042404
"88","Gaza Strip","conflict","23","m",70,344.424922326463,265.625847433145,445.050571294645,9415.62176254364,0.036580157,0.028211185,0.0472672525
"89","Gaza Strip","conflict","23","m",75,184.186634865982,135.411047083982,247.566914085505,5409.67221954372,0.034047651575,0.025031285,0.045763755
"90","Gaza Strip","conflict","23","m",80,141.165829392637,100.670493974451,193.80734242045,3108.7122638576,0.045409744425,0.0323833425,0.0623432875
"91","Gaza Strip","conflict","23","t",0,745.901944090583,631.640123144059,881.202201351786,68785.6123186835,0.0108438657292868,0.00918273606721231,0.0128108505783038
"92","Gaza Strip","conflict","23","t",1,3578.2621912052,3134.00468058412,4114.67617247058,271066.804279094,0.0132006654253428,0.011561742829112,0.0151795649910494
"93","Gaza Strip","conflict","23","t",5,4347.41956383125,3817.51554168455,4989.1511794748,288445.299155739,0.0150719029797187,0.0132347989475237,0.0172966978282459
"94","Gaza Strip","conflict","23","t",10,4005.07151516337,3501.77360149657,4608.77955388812,278943.761483375,0.014357989201354,0.0125536903312508,0.0165222535516816
"95","Gaza Strip","conflict","23","t",15,3098.88221483552,2766.13667841993,3480.67464344751,240733.665408012,0.0128726582947313,0.0114904439050171,0.0144586119168178
"96","Gaza Strip","conflict","23","t",20,3131.04163403133,2787.65092776071,3531.95637733997,194976.382958142,0.0160585686662549,0.014297377382158,0.0181147907441601
"97","Gaza Strip","conflict","23","t",25,3282.3266488579,2939.52658066734,3684.25537858864,190995.937734016,0.0171853217811832,0.0153905188536573,0.0192897054371878
"98","Gaza Strip","conflict","23","t",30,4039.87586647107,3509.77585513396,4688.13995890164,176828.539430072,0.0228462887240476,0.0198484694068398,0.0265123490473414
"99","Gaza Strip","conflict","23","t",35,2634.77138500991,2270.03120158886,3064.04373259294,132873.640725689,0.0198291502409365,0.0170841348907962,0.0230598312491377
"100","Gaza Strip","conflict","23","t",40,1892.81041227839,1627.17646896794,2213.39799180481,100875.521522758,0.0187638228155417,0.0161305383546478,0.021941874087912
"101","Gaza Strip","conflict","23","t",45,1252.65292742696,1020.6058068448,1554.4545684509,83939.5732863246,0.0149232701380796,0.0121588157633758,0.0185187332695692
"102","Gaza Strip","conflict","23","t",50,1193.82158825762,973.302274251095,1490.73560855957,63890.865824508,0.0186853249341892,0.015233825081108,0.0233325310170979
"103","Gaza Strip","conflict","23","t",55,992.150699833381,813.580309091511,1233.44056536331,56015.7763915182,0.0177119869391583,0.0145241280493026,0.0220195210139063
"104","Gaza Strip","conflict","23","t",60,1284.77974454718,1008.99364949947,1652.91446135091,42054.2090405103,0.030550562568174,0.0239926911602954,0.0393043764004378
"105","Gaza Strip","conflict","23","t",65,896.297522249313,701.161602893021,1155.79061518813,27997.9327128259,0.0320129893675584,0.0250433348092096,0.0412812841234758
"106","Gaza Strip","conflict","23","t",70,543.76338160184,419.883659283976,708.361281822618,19787.6182656582,0.0274799813854076,0.0212195148322975,0.0357982083701297
"107","Gaza Strip","conflict","23","t",75,322.885484507739,241.862889351695,430.051689085736,12133.4807024364,0.0266111178174045,0.0199335125083381,0.0354433900405331
"108","Gaza Strip","conflict","23","t",80,334.161013347657,247.655340578322,448.111820820534,7501.91775379289,0.044543412006711,0.0330122708227654,0.0597329690256832
"109","Gaza Strip","noconflict","23","f",0,406.2309276756,406.230166219884,406.233543338043,33771.1815893293,0.0120289225475,0.0120289,0.012029
"110","Gaza Strip","noconflict","23","f",1,72.0114842372106,72.0076815768869,72.0209892245637,133076.47676379,0.000541128575,0.000541099999999999,0.000541200000000002
