"year","sex","age","dx","source","region"
2014,"m",5,22,"pcbs","Palestine"
2014,"m",10,36,"pcbs","Palestine"
2014,"m",15,82,"pcbs","Palestine"
2014,"m",20,72,"pcbs","Palestine"
2014,"m",25,63,"pcbs","Palestine"
2014,"m",30,60,"pcbs","Palestine"
2014,"m",35,83,"pcbs","Palestine"
2014,"m",40,95,"pcbs","Palestine"
2014,"m",45,134,"pcbs","Palestine"
2014,"m",50,233,"pcbs","Palestine"
2014,"m",55,254,"pcbs","Palestine"
2014,"m",60,329,"pcbs","Palestine"
2014,"m",65,345,"pcbs","Palestine"
2014,"m",70,320,"pcbs","Palestine"
2014,"m",75,364,"pcbs","Palestine"
2014,"m",80,792,"pcbs","Palestine"
2015,"m",0,283,"pcbs","Palestine"
2015,"m",5,46,"pcbs","Palestine"
2015,"m",10,39,"pcbs","Palestine"
2015,"m",15,92,"pcbs","Palestine"
2015,"m",20,117,"pcbs","Palestine"
2015,"m",25,58,"pcbs","Palestine"
2015,"m",30,57,"pcbs","Palestine"
2015,"m",35,87,"pcbs","Palestine"
2015,"m",40,97,"pcbs","Palestine"
2015,"m",45,128,"pcbs","Palestine"
2015,"m",50,229,"pcbs","Palestine"
2015,"m",55,308,"pcbs","Palestine"
2015,"m",60,344,"pcbs","Palestine"
2015,"m",65,390,"pcbs","Palestine"
2015,"m",70,364,"pcbs","Palestine"
2015,"m",75,432,"pcbs","Palestine"
2015,"m",80,928,"pcbs","Palestine"
2016,"m",0,283,"pcbs","Palestine"
2016,"m",5,44,"pcbs","Palestine"
2016,"m",10,36,"pcbs","Palestine"
2016,"m",15,104,"pcbs","Palestine"
2016,"m",20,108,"pcbs","Palestine"
2016,"m",25,80,"pcbs","Palestine"
2016,"m",30,60,"pcbs","Palestine"
2016,"m",35,79,"pcbs","Palestine"
2016,"m",40,95,"pcbs","Palestine"
2016,"m",45,154,"pcbs","Palestine"
2016,"m",50,241,"pcbs","Palestine"
2016,"m",55,292,"pcbs","Palestine"
2016,"m",60,360,"pcbs","Palestine"
2016,"m",65,383,"pcbs","Palestine"
2016,"m",70,410,"pcbs","Palestine"
2016,"m",75,388,"pcbs","Palestine"
2016,"m",80,874,"pcbs","Palestine"
2017,"m",0,268,"pcbs","Palestine"
2017,"m",5,31,"pcbs","Palestine"
2017,"m",10,38,"pcbs","Palestine"
2017,"m",15,67,"pcbs","Palestine"
2017,"m",20,70,"pcbs","Palestine"
2017,"m",25,63,"pcbs","Palestine"
2017,"m",30,59,"pcbs","Palestine"
